index,Name,Platform,RatingOutOf20,Publisher,Year,Classification,Description,Genre
996,Ephemeral Fantasia,PS2,11/20,Konami Digital Entertainment,2000.0,+3 ans,"Ephemeral Fantasia makes its debut on PS2 and immerses us in a Japanese-style RPG that will not fail to recall the great classics of the category. Even if the title offers a certain originality, we are still quite far from what we have the right to expect on PS2 and it is ultimately a disappointing title in terms of its production and gameplay that Konami offers us.",Role-Playing
997,Eragon,DS,12/20,Vivendi Games,2006.0,+12 ans,"We told you Eragon, not Aragorn! It is true that this can lead to confusion as the universe of Eragon borrows from the Lord of the Rings and all the works that have tried to succeed it without ever equaling it. Eragon on DS is based on the film of the same name recently released in theaters, itself inspired by the bestselling novel by Christopher Poalini. While on all other supports, the software only offered us average quality services, it is now appropriate to look at the case of the most tactile console in the galaxy. Some say that it is by practicing that you become a blacksmith, I say that it is with the stylus that you become a dragon maker.",Action
998,Eragon,PSP,11/20,Vivendi Games,2006.0,Unknown,"While waiting for the upcoming release of the film Eragon, inspired by the novel by Christopher Paolini, why not familiarize yourself with the fantastic universe of Alagaësia where the last dragons live? On PSP, the adaptation of Eragon gives rise to a sort of 3D shoot, or rather a ""dragon simulator"", as the developers like to call it. A pompous term for a result which is nevertheless nothing alluring.",Action
999,Escape Dead Island,PS3,12/20,Deep Silver,2014.0,+18 ans,"When we talk about Dead Island, we can't say that the developers have been idle. Thus, in the space of three years, no less than three games have seen the light of day, including episode 1.5 and the spin-off here which is located between Dead Island Riptide and the second opus planned for 2015. Mixing action and infiltration , Escape Dead Island also benefits from an atypical cel shading visual although the story still takes place on the island of Banoi. At first glance, this project seems to have an interesting foundation and concept, but what about after a few hours of play?",Action
1000,Escape from Bug Island,Wii,5/20,Eidos Interactive,2006.0,+12 ans,"It swarms, it crawls and it twists its antennae in all directions! Insects are among us! At least it's us who are among the insects, since Escape From Bug Island tells the adventures of three young people on an expedition to a mysterious island. Between a video game and a B-movie, Spike offers us a very strange mix in the survival-horror genre.",Action
1001,ESPN Final Round Golf 2002,GBA,12/20,Konami Digital Entertainment,2001.0,+3 ans,"The Gameboy Advance will definitely be the console of all genres. The laptop is now enriched with a welcome sports game in the GBA game library thanks to Konami, which is taking advantage of its inexhaustible ESPN license to publish a golf simulation. The fans will undoubtedly be delighted even if this title should not trigger vocations among novices of this sport.",Sports
1002,ESPN International Winter Sports 2002,PS2,7/20,Konami Digital Entertainment,2002.0,+3 ans,"The winter sports season is already coming to an end that Konami decides to do it again with ESPN Winter Sports 2002. Given the very low interest in this title, the publisher would surely have done better to abstain. .",Sports
1003,ESPN NBA 2Night,PS2,13/20,Konami Digital Entertainment,2000.0,+3 ans,The competition is being organized against Electronic Arts which until now reigned supreme on PS2 in the Basketball category. It is therefore Konami's turn to enter the medium with a second opus in its series of ESPN-branded titles. NBA Live 2 Night arrives on the new Sony console and may not really worry NBA Live 2001 which was already disappointing.,Sports
1004,ESPN NBA 2Night 2002,PS2,11/20,Konami Digital Entertainment,2002.0,+3 ans,"ESPN is definitely a very juicy license for Konami which takes it from every angle: hockey, golf, extreme sports, fishing and... basketball, as this 2002 edition of NBA 2 Night proves to us. A year later, Konami returns to the orange ball, but even if we note a few developments here and there, the software hardly convinces us more than its predecessor.",Sports
1005,ESPN NBA 2K5,PS2,15/20,Global Star,2004.0,+3 ans,"Finally, one would be tempted to say! We actually had to wait quite a while to see the direct competitor of NBA Live 2005 from EA Sports arrive. For the trouble, ESPN NBA Basketball returns to its old name and presents itself to us under the name ESPN NBA 2K5. Moreover, I remind you that from next year, Sega's basketball simulation will have to get rid of its ESPN prefix, the brand having been purchased by EA for a long period. That being said, a name has never made a good game and it will therefore be stupid to ignore this series which still has good days ahead of it, as this new part seems to tell us.",Sports
1006,ESPN NBA Basketball,PS2,16/20,Sega,2003.0,+3 ans,"The great waltz of sports outings continues my good friends. While NBA Live 2004 is already in stores, and NBA Inside Drive 2004 has also been released exclusively on Xbox, here is ESPN NBA Bastketball (formerly NBA 2K4, what do you want the marketing channels are impenetrable) from master Sega comes to tell us a little story and the choice will prove more and more difficult for the athletes that you are.",Sports
1007,ESPN NFL 2K5,PS2,16/20,Sega,2004.0,+3 ans,"Despite all the vagueness that reigns around the ESPN license, due in particular to its takeover by Electronic Arts, the games it sponsors continue to dazzle us. The new range of products has finally arrived at the editorial office, the opportunity to tell you about NFL 2K5, Madden's rival series.",Sports
1008,ESPN NFL Football,PS2,17/20,Sega,2003.0,+3 ans,"The NFL 2K series changes its name and joins forces with the famous TV channel ESPN to create ESPN NFL Football, a serious competitor to Madden NFL 2004.",Sports
1009,ESPN NHL 2K5,PS2,16/20,Global Star,2004.0,+3 ans,"It's the season for updates at Take Two, NBA, NFL, everything is going on to celebrate the year 2005 and for now it's the case of hockey that concerns us. If the ESPN NHL series has progressed over time, we are not far from resting on our laurels at Visual Concepts and Sega. Only not far.",Sports
1010,ESPN NHL Hockey,PS2,16/20,Sega,2003.0,+3 ans,"Don't let the sudden name change of this new edition of the Sega Sports hockey simulation throw you off balance. ESPN NHL Hockey is what you've all been waiting for under the name NHL 2K4, and in this, the game logically has a lot of similarities compared to NHL 2K3. The result nonetheless remains a real simulation such as hockey players appreciate on consoles, a safe bet.",Sports
1011,ESPN X Games Skateboarding,PS2,12/20,Konami Digital Entertainment,2001.0,+3 ans,"When Konami decides to spoil the party in the popular category of skateboarding games on PS2, it gives us a rather average title, devoid of the slightest originality and which attempts to copy and paste a recipe that everyone knows already by heart. You don't rub shoulders with the undisputed master of the genre with impunity without leaving any feathers, especially when the master in question is called Tony Hawk 3.",Sports
1012,ESPN X Games Skateboarding,GBA,11/20,Konami Digital Entertainment,2001.0,+3 ans,"A new skateboarding game is coming to Gameboy Advance with ESPN X Games Skateboarding from Konami. Unfortunately, despite a fairly careful production, the game suffers from some flaws which immediately make it a little less attractive.",Sports
1013,Eternal Ring,PS2,11/20,Ubisoft,2000.0,Unknown,"After King's Field, From Software invites us to reconnect with its vision of the RPG and offers us an Eternal Ring intended to continue the innovative approach begun a few years ago. A test on PS2 which is very difficult to be transformed with a very disappointing software.",Role-Playing
1014,Eternal Sonata,PS3,17/20,Atari,2008.0,+12 ans,"A little less than two years after the Xbox 360 version, the PS3 welcomes Eternal Sonata. With several additions, anecdotal or not, this version comes at the right time, the Sony machine having few RPGs to get its teeth into. Fresh, naive but above all endearing, Tri Crescendo's software marks a successful arrival on this platform.",Role-Playing
1015,Etrian Mystery Dungeon,3DS,15/20,Nippon Ichi Software,2015.0,+12 ans,"Regularly supplied with new chapters, the Etrian Odyssey series decides for once to meet another essential Japanese dungeon-RPG franchise, the Mystery Dungeon (Shiren the Wanderer). The resulting fusion thus draws on both universes to offer us a formidable adventure, both in terms of challenge and efficiency.",Role-Playing
1016,Etrian Odyssey,DS,15/20,Nintendo,2007.0,+3 ans,"The DS continues to enrich its catalog of role-playing games with Etrian Odyssey, a Dungeon-RPG which arrives to us, admittedly a little late, but in a version entirely localized in French. While the second part is already about to be released in the United States, Atlus is offering us the opportunity to jump on the bandwagon to discover a difficult but surprisingly gripping old-school title.",Role-Playing
1017,Etrian Odyssey Untold: The Millennium Girl,3DS,15/20,Atlus,2013.0,+3 ans,"Dungeon RPG fans like it, others barely know its name. The Etrian Odyssey series is clearly part of the category of “niche games”, these titles not devoid of quality which are aimed at a particular audience. With The Millennium Girl, Atlus offers us a sort of “reboot”, a new version of the first opus released in 2008.",Role-Playing
1018,Euro Truck Simulator,PC,13/20,Rondomedia,2008.0,+3 ans,"Anuman invites us to get behind the wheel of powerful trucks to travel thousands of kilometers in the shoes of a truck driver. But this time, it's happening in Europe, from the suburbs of Lisbon to the suburbs of Warsaw!",Simulation
1019,Euro Truck Simulator 2,PC,16/20,SCS Software,2012.0,+12 ans,"Well known to fans of the genre, the Truck Simulator series has now reached excellence with a second European episode that is as careful as it is generous.",Action
1020,EVE Online,PC,14/20,CCP,2003.0,+12 ans,"CCP is certainly an Icelandic developer still little known in the video game sector, he is nonetheless the author of a game which had the merit of intriguing many MMORPG fans until its release many years ago. times postponed. EVE Online is indeed attempting an innovative approach in this area, establishing itself as one of the first massively multiplayer space-opera-oriented software.",Role-Playing
1021,EverGrace,PS2,12/20,Ubisoft,2000.0,+12 ans,"Between Orphen and Eternal Ring, players loyal to the Playstation 2 are definitely not very spoiled when it comes to RPGs. While waiting to know if Dark Cloud will succeed in reversing the trend, let's take a look at this Evergrace halfway between an action game and a role-playing game.",Role-Playing
1022,EverQuest Online Adventures,PS2,15/20,Sony Online Entertainment,2003.0,+7 ans,"Failing to finally be able to learn the joys of MMORPG on PS2 with Final Fantasy 11, it is one of the pillars of the genre on PC which does us the honor of arriving here in a version specially intended for gaming on console. Everquest Online Adventures is likely to bring back nostalgia for the PC version who would have failed for some reason on PS2, and in any case constitutes a good opportunity for everyone else to get started with MMORPGs.",Role-Playing
1023,Every Extend Extra,PSP,13/20,Disney Interactive Studios,2006.0,+3 ans,"Meteos and Lumines are remarkable successes. Titles with strong but square concepts, generous in content but visually and musically careful. Now reassured by these two franchises, Tetsuya Mizuguchi and his company, Q Entertainment, have decided to make a little Extra, a vitaminized port, that of Every Extend, freeware from the independent designer Omega. A little treat, basically. Take a concept that caught their eye (a mix of puzzle game and shoot'em up, you surprise me!) and warm up before really taking revenge with Rez 2. Sacred Mizu, former supplier of came on behalf of Sega, and who decided to release the goods before their time!",Shooter
1024,Hot Shots Golf: Open Tee 2,PSP,16/20,Sony Computer Entertainment,2007.0,+3 ans,"Super-deformed golfers, tons of bonuses to unlock and gameplay that is as accessible as it is technical: that's the winning formula of Everybody's Golf. And to the delight of fans, this second PSP part finally has a real online mode.",Sports
1025,Evil Dead: Regeneration,PS2,8/20,THQ,2005.0,+18 ans,"Ash, hero of the Evil Dead films, has never been very comfortable in the world of video games. Some hopes were placed in this Regeneration opus, hopes unfortunately disappointed today by the discovery of a bland game that a bit of humor will certainly not save from damnation.",Action
1026,Evil Genius,PC,13/20,Vivendi Games,2004.0,+12 ans,"In development for a while, but strangely quite discreet in each press room, Evil Genius is ready to give us a taste of the dark side of the force. With him, we will finally be able to understand the motivations that guide great evil geniuses such as Dr. Denfer.",Strategy
1028,Excite Truck,Wii,12/20,Nintendo,2006.0,+7 ans,"While no racing game has yet established itself as the first reference on Wii, Nintendo is launching Excite Truck in the deep end, one of the first titles announced on the support and developed by Monster Games, which we can easily qualify as a mix between Burnout, Monster Truck and Motocross Madness. But its gameplay quickly sets it apart from each of these titles and makes it truly original thanks to a Wiimote transformed for a few races into a booster steering wheel...",Racing
1029,Excitebike 64,N64,16/20,Nintendo,2000.0,+3 ans,"Old video game enthusiasts have certainly not forgotten the legendary Excitebike, released at the dawn of the video game era. Precisely, the famous title returns today on Nintendo 64 in a software which no longer has much to do with its ancestor, but which should nevertheless also be unanimously appreciated.",Racing
1030,Exit,PSP,16/20,Ubisoft,2005.0,+7 ans,"In a world of conflict for a market increasingly fond of ""big titles that stain"", the DS seemed to stand out alone, welcoming the majority of revolutionary concepts, games building a march in the video game universe. Indeed, the PSP, proud of its beautiful setting, was content to mainly offer adaptations or ports. However, a brave minstrel came and whispered in his ear that life in splendor only lasts for a while and that weariness quickly replaces riches. It is undoubtedly with this maxim in mind that Sony's laptop chose to host Exit, an innovative, strong, intelligent and quite simply endearing software. It just goes to show that everything comes in time to those who wait.",Puzzle
1031,Exit DS,DS,15/20,Square Enix,2008.0,+7 ans,"After Arkanoid and Space Invaders Extreme, Square Enix is ​​publishing another game from the Taito catalog on DS. Discovered in March 2006 on PSP, Exit was one of the nice surprises of Sony's portable and was even entitled to a sequel last year. The concept has lost none of its subtlety on this DS version, even if the element of surprise is no longer the order of the day.",Puzzle
1032,Extermination,PS2,15/20,Sony Computer Entertainment,2001.0,+16 ans,"Behind the unsubtle title of Extermination hides a software full of qualities which, even if it is clearly inspired by major titles in the field of survival horror, manages to get the best out of them to ultimately constitute a very good game , which players on Playstation 2 would be wrong to deprive themselves of.",Action
1033,EyePet,PSP,9/20,Sony Computer Entertainment,2010.0,+3 ans,"Since October 2009, EyePet has allowed us to interact with an adorable virtual creature using the Playstation 3 camera. Since the PSP also has a similar accessory, there was no reason why it couldn't not welcome one day or another a portable adaptation of the software. Unfortunately, the latter is far from recreating the magic of the original version.",Simulation
1034,EyePet,PS3,15/20,Sony Computer Entertainment,2009.0,+3 ans,"Have you always dreamed of having a pet but unfortunately you are allergic to hair, feathers and scales? Sony has thought of you and now offers you a beast substitute. EyePet is in fact the result of the improbable mix between a Tamagochi and a game from the EyeToy range.",Simulation
1035,EyePet,PS3,11/20,Sony Computer Entertainment,2009.0,+3 ans,"When someone tells you about a cute, furry little creature, do you immediately think of your upstairs neighbor for whom you have unspeakable feelings? There is no doubt, you have truly lost your childish soul. Otherwise, you would probably have mentioned your favorite stuffed animal or the kitten you saw at the pet store. Nothing is lost, perhaps you can still find the amazed kid in you by playing EyePet with your offspring. That's good, the new opus of the license is precisely focused on multiplayer.",Simulation
1036,EyePet,PS3,15/20,Sony Computer Entertainment,2009.0,+3 ans,"Released almost a year ago on PS3, the original version of EyePet already allowed you to interact with a virtual pet through the Playstation Eye camera. Today, the title returns to us in a very slightly revised version which uses Playstation Move, the console's new movement recognition controller. This new grip does not at all revolutionize the principle of this interactive toy but it still provides a significant additional level of comfort.",Simulation
1037,EyeToy: AntiGrav,PS2,13/20,Sony Computer Entertainment,2004.0,+3 ans,"And to think that we saw the EyeToy as an ephemeral object that would quickly join the pantheon of useless accessories alongside the anti-sweaty hands controller and the base to hold its console vertically. However, Sony continues to shower us with titles entirely dedicated to its little camera, ultimately proving to us that there is good value in letting go of the pad to let yourself be filmed.",Sports
1038,EyeToy: Groove,PS2,14/20,Sony Computer Entertainment,2003.0,+3 ans,"After the nice mini-games sold with the Sony EyeToy, we expected to see other titles taking advantage of the camera. The first to open the dance is called Groove and he's going to make us move our feet, well... our arms in front of our TVs.",Misc
1039,EyeToy: Kinetic,PS2,14/20,Sony Computer Entertainment,2005.0,+3 ans,"“Toouyoutou, tou toutouyoutou... Véronique... and... Davina.” A credits as cult as that of Histoires Naturelles, presenters who traumatized millions of atrophied pectorals, it was the bygone era of sport on non-interactive TV. Welcome to the modern era, where TV tells you how many calories you've lost and how many you have left to burn. Finally, the image box can dictate our behavior.",Sports
1040,F-14 Tomcat,GBA,14/20,Majesco Entertainment,2001.0,+3 ans,"If you've seen Top-Gun 467 times and for you flying means passion, then THQ's new air combat simulation should please you... Put on your aviator glasses and prepare for action-packed missions!",Action
1041,F-Zero,SNES,17/20,Nintendo,1990.0,+3 ans,"Accompanying the entry of the Super Nintendo into the 16-bit era, F-Zero was for many the first racing game to provide a real impression of speed thanks to the use of mode 7 which it inaugurated. Seventeen years after its publication in Europe and while waiting for a possible Wii or DS opus, let's return to this myth of the world of video games, the first born of a saga today dear to Big N.",Racing
1042,F-Zero: GP Legend,GBA,17/20,Nintendo,2003.0,+3 ans,"If, like me, real racing games boil down to Burnout and F-Zero for you, the release of the second episode of Nintendo's title on GBA is certainly an event that you have undoubtedly been waiting for for many months. Finding on a portable console the perfect mix between the different versions of F-Zero released on consoles to date is now a reality, and it's up to you to embark on the most dangerous, stressful and challenging race. most hair-raising that is on this medium.",Racing
1043,F-Zero: Maximum Velocity,GBA,16/20,Nintendo,2001.0,+3 ans,"One of the Super Nintendo's biggest hits returns to the forefront, in a completely new GBA version, specially designed to take full advantage of the capabilities of Nintendo's new little 32-bit. An explosive cartridge, essential for any Game Boy Advance owner.",Racing
1044,F-Zero X,N64,16/20,Nintendo,1998.0,+3 ans,"The best soup is made in old pots! Nintendo has made this adage its own. After Mario and before Zelda (December 98), it's F-Zero, the SuperNES hit, which is adapted for the N64.",Racing
1045,F.E.A.R. 2: Project Origin,PS3,14/20,Warner Bros. Interactive Entertainment,2009.0,+18 ans,"When Monolith decides to take back control of her baby, F.E.A.R. is destined to rise again from its ashes. Making a clean slate of the two TimeGate add-ons, certainly nice but having exchanged the scenario for an escalation of action, Project Origin begins where the first episode ended. A cataclysmic entry since it takes place in the shadow of a gigantic explosion from which you, Michael Becket, had just escaped. The actors are in place, the curtain has just fallen, the tragedy of Alma can continue.",Shooter
1046,F.E.A.R. 2: Project Origin,PC,15/20,Warner Bros. Interactive Entertainment,2009.0,+18 ans,"When Monolith decides to take back control of her baby, F.E.A.R. is destined to rise again from its ashes. Making a clean slate of the two TimeGate add-ons, certainly nice but having exchanged the scenario for an escalation of action, Project Origin begins where the first episode ended. A cataclysmic entry since it takes place in the shadow of a gigantic explosion from which you, Michael Becket, had just escaped. The actors are in place, the curtain has just fallen, the tragedy of Alma can continue.",Shooter
1047,F1 2001,PS2,17/20,Electronic Arts,2001.0,+3 ans,"Come on! here we go again for yet another version of the F1 game from EA Sports. However, it is difficult to speak of a simple updating of the series as this 2001 edition innovates compared to the previous one. The term rebirth is much more appropriate.",Racing
1048,F1 2002,GBA,14/20,"Destination Software, Inc",2002.0,+3 ans,"My F1 update is beautiful, all the teams from the 2002 season, all the drivers, the official circuits and more. Come, ladies and gentlemen, and come discover the joys of being a Formula 1 driver on Gameboy Advance for a simulation full of worn rubber and seconds to scrounge up.",Racing
1049,F1 2002,PS2,16/20,Electronic Arts,2002.0,Unknown,"It’s license porting season! Electronic Arts, a great specialist in the eternal maximization of profits linked to its sports licenses, therefore gives us the 2002 version of its F1 title, PS 2 model today.",Racing
1050,F1 2009,PSP,14/20,Codemasters,2009.0,+3 ans,"We've been waiting for it for so long... An F1 game! In the cupboards since Sony's last PS2 to PS3 port, the Formula One license is making a comeback, through Codemasters. Already focused on an HD title which will be released next year, the developer wants to offer us a PSP version which is based on the season we have just experienced.",Racing
1051,F1 2009,Wii,16/20,Codemasters,2009.0,+3 ans,"We've been waiting for it for so long... An F1 game! In the cupboards since Sony's last PS2 to PS3 port, the Formula One license is making a comeback, through Codemasters. Already focused on an HD title which will be released next year, the developer wants to offer us a Wii version which is based on the season we have just experienced.",Racing
1052,F1 2010,PC,17/20,Codemasters,2010.0,+3 ans,"After three long years of absence on HD consoles, Formula 1 is finally back. So the time has come to turn the page and write another one thanks to the expertise of the little guys at Codemasters. The publisher has in fact decided to purchase all the necessary licenses to entrust an internal studio with the development of an F1 simulation that every purist is eagerly awaiting.",Racing
1053,F1 2010,PS3,17/20,Codemasters,2010.0,+3 ans,"After three long years of absence on HD consoles, Formula 1 is finally back. So the time has come to turn the page and write another one thanks to the expertise of the little guys at Codemasters. The publisher has in fact decided to purchase all the necessary licenses to entrust an internal studio with the development of an F1 simulation that every purist is eagerly awaiting.",Racing
1054,F1 2011,3DS,15/20,Codemasters,2011.0,+3 ans,"As surprising as it may seem, the Nintendo DS has been completely shunned by Formula 1 throughout its presence on the market. Its little sister is off to a better start, almost immediately enjoying the port of F1 2011, an undeniable success on HD machines. Is this also available on mobile?",Racing
1055,F1 2011,PC,17/20,Codemasters,2011.0,+3 ans,"Relaunched by Codemasters in 2010, virtual Formula 1 seems set to last via the F1 license. If it was necessary to start from scratch or almost for the first part to see the light of day, its successor has more of a large patch profile. In fact, if F1 2010 was aimed at a wide audience, this new edition is aimed more at fans of the discipline.",Racing
1056,F1 2011,PS3,16/20,Codemasters,2011.0,+3 ans,"Relaunched by Codemasters in 2010, virtual Formula 1 seems set to last via the F1 license. If it was necessary to start from scratch or almost for the first part to see the light of day, its successor has more of a large patch profile. In fact, if F1 2010 was aimed at a wide audience, this new edition is aimed more at fans of the discipline.",Racing
1057,F1 2012,PC,16/20,Codemasters,2012.0,+3 ans,"Since its return in 2010, the F1 series has continued to dazzle players and critics alike. Let's hope that the 2012 opus, which reaches us today, will be able to preserve this excellence while avoiding the updating aspect specific to certain sports games with annual releases. So, verdict?",Racing
1058,F1 2012,PS3,16/20,Codemasters,2012.0,+3 ans,"Since its return in 2010, the F1 series has continued to dazzle players and critics alike. Let's hope that the 2012 opus, which reaches us today, will be able to preserve this excellence while avoiding the updating aspect specific to certain sports games with annual releases. So, verdict?",Racing
1059,F1 2013,PS3,16/20,Codemasters,2013.0,+3 ans,"Like every year, Codemasters marks the start of autumn by launching a brand new, beautiful F1. At least we hope so, since the series has had a slight tendency to rest on its achievements in recent years. However, we are promised something heavy with the arrival of vintage drivers, cars and circuits. Is this enough to justify a new purchase?",Racing
1060,F1 2014,PS3,14/20,Codemasters,2014.0,+3 ans,"This year, Formula 1 has entered a new era thanks to the arrival of new engines, new gearboxes, new aerodynamic standards, etc. Even some circuits are new, which inevitably complicated the task of the developers of F1 2014. Have they still managed to offer us a satisfactory game?",Racing
1061,F1 Career Challenge,PS2,16/20,Electronic Arts,2003.0,+3 ans,"You who were waiting for F1 2003, you can still wait because there will be no 2003 edition! EA Sports has indeed decided to question itself and review the (yet very good) copy of its Formula 1 series. On the program, more realism through 4 complete seasons!",Racing
1062,F1 Race Stars,PC,12/20,Codemasters,2012.0,+3 ans,"Codemasters abandons advanced simulations for a moment and releases a certain F1 Race Stars. A sort of Mario Kart-like under official licenses from the Formula 1 world championship, this one will have a lot to do to stand out from the many alternatives available.",Racing
1063,F1 Race Stars,PS3,12/20,Codemasters,2012.0,+3 ans,"Codemasters abandons advanced simulations for a moment and releases a certain F1 Race Stars. A sort of Mario Kart-like under official licenses from the Formula 1 world championship, this one will have a lot to do to stand out from the many alternatives available.",Racing
1064,Fable: The Lost Chapters,PC,16/20,Microsoft Game Studios,2005.0,+16 ans,"The great tradition of console adaptations to PC (and vice versa) dictates that any port must bring added value to the base product. It's impossible to stupidly adapt this or that title without adding something to it, unless you want to be accused of being a slightly lazy profiteer who focuses above all on juicy good deals. In this little game, Fable is doing very honorably since since the Xbox version, new weapons and quests as well as a new chapter have appeared. But is it enough to make The Lost Chapters essential? This is what I suggest you check in the following lines…",Role-Playing
1065,Fable III,PC,16/20,Microsoft Game Studios,2011.0,+16 ans,"Nearly seven months have passed since the release of Fable III on Xbox 360, but today, finally, Peter Molyneux's series returns to our glorious PCs. However, if the game itself is exactly the same as in its console version, PC players who have tried the first Fable will quickly notice that the kingdom of Albion has completely changed its appearance. Darker than ever, the world is now riddled with crime and corruption, disfigured by rampant industry, and ruled by a tyrant. Times are hard for the residents and revolt is brewing. The only thing missing is a hero capable of leading the revolution that everyone aspires to. But that could well be about to change.",Role-Playing
1066,Fading Shadows,PSP,13/20,Ivolgamus,2008.0,+7 ans,"After Mercury Meltdown and Spinout, the PlayStation Portable welcomes yet another skill game which involves controlling a ball. Let's see what this new representative of the genre offers to stand out from the competition.",Puzzle
1067,Fairytale Fights,PS3,13/20,Playlogic Game Factory,2009.0,+16 ans,"Snow White, Little Red Riding Hood, The Naked Emperor and Jack Beanstalk have it bad. Obviously, life in the village of stories is seriously annoying, but serious at home. All these bright colors, these good feelings, it's a bit of a shock to them. So to kill time between two stupid stories, well they kill people. You have to take care.",Action
1068,Master of Illusion,DS,13/20,Nintendo,2006.0,+3 ans,"Renamed “Make magic” for its French version, the intriguing Magic of Illusion is now accessible in our language and is aimed at all those who have a certain attraction for illusionist tricks. Without any pretension, the software gives us the keys to impressing the gallery in due form. A first in the Nintendo DS game library.",Puzzle
1069,Fallout: Brotherhood of Steel,PS2,14/20,Avalon Interactive,2004.0,+16 ans,"Long delayed, the console version of Fallout is finally available. With it, you shouldn't expect to reconnect with the RPG style specific to the series, but rather to find a hack and slash game in the same spirit as Baldur's Gate Dark Alliance or Champions Of Norrath.",Role-Playing
1070,Fallout 3,PS3,17/20,Bethesda Softworks,2008.0,+16 ans,"Few games have unleashed so much passion even before their release. As soon as it was announced, Fallout 3 crystallized the wildest expectations of some and aroused the distrust of others, who feared that the license would lose its substance in the hands of Bethesda. It is true that with its hybrid gameplay borrowing as much from the Elder Scrolls saga as from that of Fallout, this third episode risks fueling the controversy for a long time to come. But as long as we know how to let go of our expectations as a hardened fan, Fallout 3 is a role-playing game with multiple qualities, capable of offering a first-rate experience.",Role-Playing
1071,Fallout 3,PC,17/20,Bethesda Softworks,2008.0,+16 ans,"Few games have unleashed so much passion even before their release. As soon as it was announced, Fallout 3 crystallized the wildest expectations of some and aroused the distrust of others, who feared that the license would lose its substance in the hands of Bethesda. It is true that with its hybrid gameplay borrowing as much from the Elder Scrolls saga as from that of Fallout, this third episode risks fueling the controversy for a long time to come. But as long as we know how to let go of our expectations as a hardened fan, Fallout 3 is a role-playing game with multiple qualities, capable of offering a first-rate experience.",Role-Playing
1072,Fallout: New Vegas,PS3,17/20,Bethesda Softworks,2010.0,+18 ans,"When Bethesda Softworks announced its intention to give a quick sequel to Fallout 3, based on the same gameplay and the same engine inherited from the last Elder Scrolls, the game's detractors were already starting to be ironic. Except for one detail: Fallout New Vegas would be developed by Obsidian Entertainment, a studio founded on the ashes of Black Isle, and headed by Chris Avellone, known for his work on Fallout 2. And there, all the sarcasm stopped to make way to a religious expectation.",Role-Playing
1073,Fallout: New Vegas,PC,17/20,Bethesda Softworks,2010.0,+18 ans,"When Bethesda Softworks announced its intention to give a quick sequel to Fallout 3, based on the same gameplay and the same engine inherited from the last Elder Scrolls, the game's detractors were already starting to be ironic. Except for one detail: Fallout New Vegas would be developed by Obsidian Entertainment, a studio founded on the ashes of Black Isle, and headed by Chris Avellone, known for his work on Fallout 2. And there, all the sarcasm stopped to make way to a religious expectation.",Role-Playing
1076,Family Guy: Back to the Multiverse,PS3,11/20,Activision,2012.0,+16 ans,"Before being a Simpsons clone, Family Guy is a brilliant animated series built on bursts of jokes and a non-sensical universe. Adored by some, hated by others, Seth McFarlane's creation nonetheless remains one of the funniest current shows on American television. However, its video game past is not really extensive, with only one PS2 game, which is average, being worth noting. The damage is now repaired since here comes a new adaptation.",Action
1077,Family Party: 30 Great Games,Wii,11/20,D3Publisher,2008.0,+3 ans,"You couldn't have missed the phenomenon, party games are invading the Wii. It must be said that Nintendo's machine lends itself particularly well to this genre. Presented above all as a user-friendly console, it seems to be the ideal support for games whose ambition is to bring the whole family together in front of the screen. Family Party is therefore not the first and certainly not the last title to exploit this recipe. It remains to be seen whether the 30 activities proposed here will brighten up your evenings.",Misc
1078,Active Life: Outdoor Challenge,Wii,10/20,Atari,2008.0,+3 ans,"“Go out and stretch your legs in the fresh air instead of staying glued to your video games!” Have you heard this remark a thousand times before? With Family Trainer things are about to change: it is now parents who will send their offspring in front of the Wii. Indeed, if the game in question has very limited playful interest, it will always allow you to quickly exhaust the little monsters.",Sports
1079,Active Life: Extreme Challenge,Wii,12/20,Namco Bandai Games,2009.0,+3 ans,"You couldn't have missed the famous message which now accompanies the advertising breaks. If you don't want to look like an elephant seal that has overindulged in peanut butter, you not only have to gorge yourself on fruits and vegetables, but also avoid staying glued to your couch. Suffice to say that playing video games is not necessarily viewed favorably. Namco Bandai, however, seems to have found the ideal recipe to reassure parents while exhausting the youngest. Indeed, the Family Trainer series aims to make players sweat in front of their Wii.",Sports
1080,Fantasy Aquarium by DS,DS,6/20,Mercury Games,2008.0,+3 ans,"After the Paint By DS painting workshop, Ertain is now trying his hand at a simulation of underwater life management in an aquarium and proves to us that there is no shortage of ideas for exploring areas still untouched on the laptop of Nintendo. But once again, the result demonstrates botched development, and the variation of the title in several versions is a total lack of respect towards the consumer.",Simulation
1081,Fantasy Life,3DS,17/20,Nintendo,2012.0,+7 ans,"Known today for being at the origin of the adventures of Professor Layton, the Level-5 studio engaged in very different experiments in the early 2000s. True Fantasy Live Online was at the time a console MMORPG project ambitious, driven by cel shading graphics and a universe that can accommodate several thousand games. Finally canceled ten years ago, this aborted project continued to run through the minds of the developers of the Japanese studio. It's hard not to see a connection between TFLO and Fantasy Life, finally available in Europe after having delighted the Japanese for almost two years. Taking up some of the game principles of its predecessor while freeing itself from the massively multiplayer part, Fantasy life offers you, as its name suggests, the opportunity to live the life of a heroic-fantasy character... and does it brilliantly. .",Role-Playing
