Name,Platform,Tags
DK: King of Swing,GBA,"for some time now, our friend donkey kong has taken great pleasure in starring on consoles in games that all have the same desire to innovate. on gba, the primate was only entitled to remakes of the donkey kong country series and was content to play the bad role in mario vs donkey kong. but this time, dk: king of swing aims to change things by offering the kong family the starring role in a completely unclassifiable title. platform nintendo"
DmC: Devil May Cry,PS3,"while the reboot has been on the rise for many years in the world of the seventh art, this trend has recently made its way into video games. as a result, the names remain, the icons hold up but under the cover of a graphic redesign and &#47; or gameplay. thus, the great franchises seem to brave time with insolent grace. this time, it's devil may cry who is at it and if the handsome, dark, silver-haired guy gives way to an excited little twink, the formula remains the same: we strike and we move forward. problematic ? not really... action capcom"
Dog's Life,PS2,"while most often originality in the world of video games comes from the land of the rising sun, for once we are going to talk about a title with a strong innovative concept, directly from the english studios of frontier development. if leading a dog in a video game is not new in itself (an old title like spleepwalker already allowed it), the fact of truly living a dog's life (in the literal sense) is a first, at least to my knowledge. in short, if the life of a canine tempts you and you have nothing against sniffing the behinds of your canine fellow citizens, dog's life offers you the paw. adventure sony computer entertainment"
Dogz,DS,"nintendogs proved it to us, virtual furballs have a bright future ahead of them. no food to buy daily, no obligatory outings when the weather is rainy, no unwanted barking or little odorous surprises on the persian carpet in the entrance. aware of the advantages of having a pixel puppy and the substantial windfall to be extracted from a demanding and almost already conquered public, the mto studio is today offering us the opportunity to adopt its dogz. simulation ubisoft"
Dogz,GBA,"there is no need to return to the nintendogs phenomenon and the enthusiasm it has generated among gamers around the world. it seems that there are many people who are ready to dedicate a little of their time to raising a virtual puppy, and the time seems right for the competition to get involved too. the proof with the announcement of the game artlist collection: the dog: happy life on psp and the release of dogz on gba. simulation ubisoft"
Dokapon Kingdom,Wii,"a strange cross between a mario party-style board game and an authentic rpg, dokapon kingdom invites us to save a kingdom in multiplayer with heroes created from scratch. are you ready to embark on the adventure? role-playing sting"
Don King Boxing,Wii,"oddly enough, while the wii's controls seemed perfectly suited to recreate the various sensations of boxing, we can't say that the simulations that have come out in recent years have proven convincing. and unfortunately, it’s not don king boxing that’s going to change things. sports take-two interactive"
Don King Boxing,DS,"when you're a boxing fan, it's difficult to find what you're looking for on nintendo ds. we may have briefly been interested in showtime championship boxing, a real video game disaster, before going back to crying in front of our tv, hoping that one day, yes one day, a software will manage to rekindle our flame. sports friends, the time has perhaps returned to regain hope because don king boxing, if not perfect, could well satisfy lovesick boxing fans. sports take-two interactive"
Disney's PK: Out of the Shadows,PS2,"hey, well donald is back and he's not happy. the most hysterical duck on the planet is today transformed into a superhero named pk and who is entrusted with the difficult task of saving the earth from an invasion of e.d (extraterrestrial ducks). ubi soft, or the art of plagiarizing oneself by creating a sort of clone of rayman. platform ubisoft"
Donkey Kong 64,N64,"18 years after his first appearance on our small, fun screens, our legendary, simian friend returns for new adventures in 3d. when we also know that it was rare who took care of putting all of this together, we can expect something explosive! bwark!!! platform nintendo"
Donkey Kong Country,GB,"released in 1994 on snes, donkey kong country is a game that marked its time. software of this scale rarely remains in the back of the cupboard, which is why rare took a daring bet: releasing it on gameboy color at the dawn of the third millennium! let's see with what agility our favorite primate and his friend were able to land on a portable console. platform nintendo"
Donkey Kong Country,SNES,"mario is the most famous video game character to date. but let's not forget that he was once just jumpman, a carpenter climbing scaffolding to rescue his fiancée pauline, kidnapped by a gorilla. we were then still a long way from mario and princess peach. donkey kong already existed. strongly inspired by hollywood's king kong, the giant ape quickly fell into oblivion, nintendo having understood that we preferred heroes to enemies. nearly thirteen years later, nintendo entrusted an ambitious project to a development studio which was experiencing some financial difficulties, rareware: to resurrect the oldest character created by shigeru miyamoto. platform nintendo"
Donkey Kong Country,GBA,"if there is one game that violently marked the super nintendo period, it is undoubtedly donkey kong country. the one who revealed rare to the general public in 1994 returns for our greatest pleasure on gba in a version which faithfully reproduces the first snes episode and even adds some new bonuses. platform nintendo"
Donkey Kong Country: Tropical Freeze,WiiU,"hailed by critics in 2010, the strong return of donkey kong country requires confirmation on wii u, a support which allows the nintendo series to enter the high definition dimension for the first time. like returns, tropical freeze was entrusted to retro studio, to whom we notably owe metroid prime. and like its predecessor, this new episode gives us a little lesson in old-fashioned platforming, aimed essentially at yesterday's players, without ignoring those of today. a friendly but hardcore game like we now find too rarely... platform nintendo"
Donkey Kong Country 2,GBA,"it's not for nothing that it was with donkey kong country that rare made its name. aside from the plumber saga, the series dedicated to the kong tribe is certainly the one that has had the greatest impact on platform game enthusiasts on super nintendo, and seeing it resurrected today on gba is an unspeakable joy for many of us. platform nintendo"
Donkey Kong Country 2: Diddy's Kong Quest,SNES,"released in 1994, the game donkey kong country had a bomb effect, achieving great critical and commercial success. this basic platform game in its foundations convinced thanks to its simple and intuitive handling, its fresh and colorful atmosphere and its graphics pushing the limits of the console. a year later, it was inevitable that the british team at rare would get back to work to bring a second version to the public. platform nintendo"
Donkey Kong Country 3,GBA,"following the path traced by its two predecessors, donkey kong country 3 is in turn ported to gba and pays a final tribute to one of the most acclaimed series on the super nintendo. having served to propel the rare company into the upper echelons of video games, donkey kong country is one of those cult sagas that has not aged in the slightest. the third opus was already excellent at the time, and finding it today on gba gives me a joy that i must share with you. platform nintendo"
Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,"the final part of rare's legendary trilogy, donkey kong country 3 is a good platform game. unfortunately, we cannot forgive its flaws, which are certainly minimal but which somewhat betray the series' code of honor. platform nintendo"
Donkey Kong Country Returns,Wii,"16 years ago, rare was behind one of the super nintendo's masterpieces: donkey kong country. after having successively been the hero of a 3d game, a racing driver or even a conga player, the most famous monkey in video games returns to his first love: the pure platform, in 2d scrolling. did he and his friend diddy keep their hands? platform nintendo"
Donkey Kong Barrel Blast,Wii,"donkey kong jet race, or barrel blast in import, marks the return of the kong family in a title that clearly falls into the racing category. we have to believe that it won't be tomorrow that we will have the opportunity to taste a new donkey kong platform style, like in the days of the n64 and the super nintendo. for now, we will have to make do with a very unambitious and barely entertaining software. racing nintendo"
Doodle Hex,DS,"as original as its name suggests, doodle hex invites us to join a magic school to discover the mysterious power of runes. an intense experience that your ds touch screen should remember for a long time. puzzle pinnacle"
Doom,PC,"when it was launched in 1993, doom immediately became a classic by practically inventing a formula of its own, that of the first person shooter. if today this genre is predominant in the video game industry, it is clear that it no longer has much to do with what id software offered us at the time. however, after a third episode more in the survival-horror style, the texan studio created a surprise by announcing doom, a reboot that will draw on the origins of the series. it is now time to find out if the developers have succeeded in mixing old with new, if it is still possible to seduce the public with mechanics that are more than twenty years old. shooter id software"
Doom,PC,"a year after the release of the legendary wolfenstein 3d, id software did it again on december 10, 1993 with a new three-dimensional first-person shooter but this time focusing on a futuristic, survival-horror oriented universe. is doom the worthy successor to his elder? shooter id software"
Doom,GBA,"in 1993, a game achieved a triple feat: definitively imposing 3d in games, becoming one of the most played games in the world, and helping to create a new genre: the first person shooter. this game is doom. here it is arriving on a portable console, 8 years later!! chronicle of repeated success. shooter activision"
Downforce,PS2,"when an f1 car meets a bumper car it makes them want to make a game called downforce. “jean alesi will like it,” they say to themselves. come on, let's go for a series of crashes. racing avalon interactive"
Downhill Domination,PS2,"a few weeks ago i was introduced to downhill domination. a contact that really had a blast despite two or three little things. at the time of the test, i am completely distraught, forced to admit that the things are still there. sniff. racing codemasters"
Brain Voyage,DS,"lately, your brain has been the center of attention. training games are multiplying, and the general public seems to adhere to this concept supposed to improve their personal abilities. eidos intends to carve out a lion's share of this flourishing market by publishing remue méninges, a collection of diverse and varied puzzles. puzzle eidos interactive"
House M.D.,DS,"many fans were impatiently awaiting the video game version of dr. house, the most watched hospital tv series in the world. available on pc and ds, this title asks them to help house and his team solve several medical puzzles. adventure mindscape"
Dr. Muto,PS2,"dr. muto... dr. muto... that name rings a bell... oh well, that's it, i remember, i knew a dr. muto, even though he was a proctologist. um, have i once again shared a little too much of my private life? platform midway games"
Draglade,DS,"do you know grap? no ? i didn't know it existed either until i played draglade and discovered this very special new sport mixing combat and rhythm. i reassure you, all this remains fictitious, we are not about to see this discipline arrive at the olympic games. fighting 505 games"
Dragon Age: Origins,PS3,"many role-playing games have been announced as spiritual successors to baldur's gate. but the titles in question have, in the end, rarely met the expectations of players. except that in the case of dragon age: origins, the new bioware, we have probably never been closer to the truth. it seems that only the studio that created the myth could repeat this feat. role-playing electronic arts"
Dragon Age: Origins,PC,"many role-playing games have been announced as spiritual successors to baldur's gate. but the titles in question have, in the end, rarely met the expectations of players. except that in the case of dragon age: origins, the new bioware, we have probably never been closer to the truth. it seems that only the studio that created the myth could repeat this feat. role-playing electronic arts"
Dragon Age II,PS3,"at the end of 2009, dragon age: origins came to delight fans of epic frescoes and tactical combat. its success led to a series of dlcs, each more insignificant than the last, as well as an expansion, awakening, solid but not unforgettable. all this additional content was released in 2010, so one wonders where bioware found the time to develop this dragon age ii. action electronic arts"
Dragon Age II,PC,"at the end of 2009, dragon age: origins came to delight fans of epic frescoes and tactical combat. its success led to a series of dlcs, each more insignificant than the last, as well as an expansion, awakening, solid but not unforgettable. all this additional content was released in 2010, so one wonders where bioware found the time to develop this dragon age ii. action electronic arts"
Dragon Age: Inquisition,PS4,"hear, hear, brave citizens of thedas, sharpen your blades, raise your shields, make the magic crackle, the hour of the inquisition has arrived. after a dragon age origins with roots anchored in classics of the genre such as baldur's gate or neverwinter, then a second part much more action-oriented with a bitter taste of misdirection, bioware has given itself the mission of restoring the image of its high fantasy rpg license with an ambitious third iteration resembling a mea culpa towards a skeptical public after the cold shower dragon age ii, but still full of hope given the studio's past. in short, forget the monotonous corridors and the absence of strategy and make way for a semi-open world where tactics finally seem to take a place of choice in the gameplay. on the way to the vast regions of orlais and ferelden. role-playing electronic arts"
Dragon Age: Inquisition,PC,"hear, hear, brave citizens of thedas, sharpen your blades, raise your shields, make the magic crackle, the hour of the inquisition has arrived. after a dragon age origins with roots anchored in classics of the genre such as baldur's gate or neverwinter, then a second part much more action-oriented with a bitter taste of misdirection, bioware has given itself the mission of restoring the image of its high fantasy rpg license with an ambitious third iteration resembling a mea culpa towards a skeptical public after the cold shower dragon age ii, but still full of hope given the studio's past. in short, forget the monotonous corridors and the absence of strategy and make way for a semi-open world where tactics finally seem to take a place of choice in the gameplay. on the way to the vast regions of orlais and ferelden. role-playing electronic arts"
Dragon Ball: Advanced Adventure,GBA,"if we still wonder how dragon ball was able to brave the ravages of time with indecent insolence, one of the answers surely lies with the video game industry. although the american broadcast of the series has boosted the license, we also realize that made in japan productions regularly sweep across the archipelago. in all this, europe is sorting it out and while we can consider ourselves lucky not to be entitled to titles like dragon ball z sagas, it sometimes happens that certain unsavory software slips through the cracks like this was the case with the filthy dragon ball z: taiketsu. dragon ball advanced adventure is on a whole new level and picks up from the very beginning of the saga while showing such respect that the whole thing commands admiration. action namco bandai games"
Dragon Ball: Origins,DS,"popular to the point of generating unwavering enthusiasm several years after the end of the series, dragon ball and its hero songoku showed the way to many mangakas. however, the beginning of this river saga had never been entitled to a real adaptation. we can cite a few nes titles or dragon ball: advanced adventure on gba but these titles did not really focus on faithfully transcribing the original tablets. this is now done with dragon ball: origins which here adapts the first volumes of toriyama's creation. action atari"
Dragon Ball: Origins 2,DS,"less than two years after the release of the first episode, son goku returns to us on ds for the continuation of his adventures. these taking place just after the 21st martial arts tournament which closed the previous dragon ball: origins, we find our merry fellow facing the terrible red ribbon army. good news especially since in parallel with what undoubtedly represents the best part of dragon ball, this episode boasts much more effective gameplay than its predecessor. action namco bandai games"
Dragon Ball: Revenge of King Piccolo,Wii,"the famous adventures of goku have already given rise to a plethora of video game adaptations. most of them, however, are limited to fighting games that take up the universe of dragon ball z. the hero's childhood is therefore often put aside in favor of slightly more spectacular confrontations. in this context, the little hearts of fans of the series were taken aback when they learned that a title returning to the origins of the saga was about to land on a home console. unfortunately this revenge of king piccolo is far from meeting all the expectations it aroused. action namco bandai games"
Dragon Ball: Fusions,3DS,"in the 90s, playgrounds were rife with terrible debates, which made and broke many friendships. at the center of these discussions, existential questions such as “who is stronger between ultimate gohan and goku ssj3?” » or “is broly more powerful than any fusion? "". conversations that heated up quickly as soon as a smart guy alluded, to establish his authority, to some episode or chapter known only by “real fans”... and often coming from his imagination as fertile as it was youthful. we had to wait until 2016 for bandai namco to give an answer to all these questions. that answer, dear friends, is dragon ball fusions. role-playing namco bandai games"
Dragon Ball GT: Transformation,GBA,"the series of dragon ball adaptations on console is not only fighting games, and the gameboy advance is well placed to know this because it has hosted several rather successful role-playing games, developed by the webfoot studio. the latter also gave birth in 2005 to dragon ball gt: transformation, a beat'em all released only in the united states... proof that any good studio can fail. action atari"
Dragon Ball: Raging Blast,PS3,"dragon ball z: burst limit not having unleashed passions, to say that we were waiting for dragon ball raging blast is an understatement. well there you have it, here is the new dragon ball which, while abandoning the zeto of its title, nonetheless remains an hd clone of the previous dragon ball z: budokai tenkaichi. good or bad news, it's up to you, but what is certain is that beyond its qualities, the title has a little difficulty satisfying at all levels. fighting namco bandai games"
Dragon Ball: Raging Blast 2,PS3,"if dragon ball raging blast had not really stood out for its qualities, its sequel still seemed inevitable given the success of the franchise. so, dragon ball raging blast 2 comes to us a year after its big brother and as you might expect, the only real new features are synonymous with more characters. is this a reason to ignore this episode? the answer in a few lines... fighting namco bandai games"
Dragon Ball Z,SNES,"it was at the time when most french schoolchildren woke up in the morning following the television adventures of son goku that the dragon ball z video games began to flourish. bandai thus offered us in 1993 and 1994 a fantastic trilogy allowing us to slip into the shoes of the sayans with oversized hairstyles for epic destructive battles: the super butôden, translated into french under the names dragon ball 1, 2 and 3. a look back at the first episode of this series which finally allowed you after so many frustrations of creating a kamehameha. fighting namco bandai games"
Dragon Ball Z: Attack of the Saiyans,DS,"not wanting to take the risk that new generations of players will miss out on akira toriyama's cult work, namco bandai makes it a point to tell us, once again, the story of son goku through 'a new adaptation on console. an initiative which is justified in the sense that it is not yet another fighting game but an rpg. role-playing namco bandai games"
Dragon Ball Z: Battle of Z,PS3,"remember, in 1996 a certain dragon ball z legends was released in japan on playstation and saturn. the latter featured quite original fights since they sometimes involved six fighters in the same confrontation. deliberately more simplistic in terms of gameplay, this legends ultimately proved to be a good surprise, not free from flaws but interesting enough to rally the japanese gagabalians. why bring up this title today? well quite simply because battle of z takes up the main points. fighting namco bandai games"
Dragon Ball Z: Budokai,PS2,"one of the most popular series among manga fans is making a comeback on the video game scene in a 3d fighting game exclusive to ps2 support. building on the success of the 16-bit episodes a few years ago, bandaï has learned its lesson and is offering us a title that will delight dbz fans. fighting atari"
Dragon Ball Z: Budokai 2,PS2,"well tell me, atari, well bandai, will not take long to give us a second episode of dragon ball zeto on ps2. it is very logical that the first opus was able to impose itself, marvelously transcribing the universe of toriyama's work through nervous combat and a story mode reviewing 80% of the series. but what about this second episode? well, to find out, i invite you to read the little blunder that follows… fighting atari"
Dragon Ball Z: Budokai 3,PS2,"everything was settled down to the point. the energy, like musical notes, danced on my body like a sheet of music. it all started with a feeling of intense heat pouring through all my limbs. then followed a feeling of dizziness coupled with the stiffness of my muscles. then came the transformation...and the amazement of my adversaries. a saiyan faced them, a devastating power was ready to be unleashed and with it the hope of renewal in the face of increasingly powerful enemies. fighting atari"
Dragon Ball Z: Budokai Tenkaichi,PS2,"after dimps' brilliant performance on dragon ball z budokai 3, spike's team takes over with the difficult task of developing the best video game adaptation of toriyama's work. has the bet paid off? it's up to you to judge, but whatever it is, tenkaichi gives a real breath of fresh air to the series and proves that it is always rewarding to take risks if you want to renew a concept, no matter how good it may be. it at the base. fighting atari"
Dragon Ball Z: Budokai Tenkaichi 2,Wii,"now accessible to all wii owners, dragon ball z: tenkaichi 2 is no longer the preserve of ps2 players. the public should also massively support spike's excellent title which is offered to us here in a version slightly different from the original. if the new controls provide more immersive sensations, they also require a longer learning curve, especially for those who discover the world of tenkaichi with this episode. fighting atari"
Dragon Ball Z: Budokai Tenkaichi 2,PS2,"spike continues to do wonders with the budokai tenkaichi series, the dragon ball z universe being an inexhaustible source of inspiration for many fans, of which the development team is obviously a part. we could therefore only rejoice at the arrival of this second tenkaichi which brings us even closer to the long-awaited ultimate adaptation. fighting atari"
Dragon Ball Z: Budokai Tenkaichi 3,Wii,"faithful to the appointment, dragon ball z: budokai tenkaichi 3 will try to do better than its predecessor which did not lack much to achieve unanimous approval among fans. more than ever, the app is both a successful homage to toriyama's cult manga and an excellent fighting game. an essential title which definitely has no equivalent in its category. fighting atari"
Dragon Ball Z: Budokai Tenkaichi 3,PS2,"faithful to the appointment, dragon ball z: budokai tenkaichi 3 will try to do better than its predecessor which did not lack much to achieve unanimous approval among fans. more than ever, the app is both a successful homage to toriyama's cult manga and an excellent fighting game. an essential title which definitely has no equivalent in its category. fighting atari"
Dragon Ball Z: Burst Limit,PS3,"while dragon ball z had its heyday on ps2 through two series, different in their approaches but above all complementary, here is the cult work of akira toriyama arriving on new-gen. still developed by dimps, a guarantee of quality, burst limit shows its own problems too quickly by jumping six years into the past after having made a clean sweep of everything that had been done during this period. z chronicle of a product which more than ever deserves to be stamped with the last letter of the alphabet. fighting atari"
Dragon Ball Z: Extreme Butoden,3DS,"perhaps more discreet than the release of dragon ball fans of akira toriyama's work. it must be said that we find at the helm a team of fighting game specialists: arc system works, to whom we owe two major 2d vs fighting series, guilty gear and blazblue. and the wait was not in vain, even if some may be a little disappointed. fighting namco bandai games"
Dragon Ball Z: Harukanaru Densetsu,DS,"card games and the dragon ball universe are no strangers and have even had an intimate relationship since the days of the nes. thus, after several fighting games on all possible supports, the nintendo ds welcomes a new part of toriyama's work which returns to the zeto saga through saiyans hitting the cardboard to decide the future of the world. role-playing namco bandai games"
Dragon Ball Z: Infinite World,PS2,"are you about to relegate your ps2 to the attic? think twice: not only does the console have a nice catalog of games, but original titles also continue to be released on this platform. this is how, after budokai and tenkaichi, a new dragon ball z fighting game is preparing to take the ps2 by storm. it only remains to be seen whether this dbz: infinite world lives up to its predecessors or whether it is just a last attempt to exploit this good vein. fighting namco bandai games"
Dragon Ball Z: The Legacy of Goku,GBA,"you've been waiting for it for months, it's finally here! dragonball z on gba is creating an event today in this game published by infogrammes. in an action-rpg game style that supernes would not have denied, we are pleased to find all the heroes of the flagship cartoon of the 80s. role-playing infogrames"
Dragon Ball Z: The Legacy of Goku,GBA,"dragon ball is dead, long live dragon ball. like a refrain, toriyama akira's flagship series keeps coming back to us at regular intervals. more than just a comic book, dragon ball, and by extension dragon ball zeto, have become in just a few years the ambassadors of manga in many countries including france. the video game therefore had to take up the torch after the end of the series and it is therefore today the gba which welcomes the latest title of dbz, itself following dragon ball z: goku's legacy released last year for nintendo's mobile phone. role-playing infogrames"
Dragon Ball Z: Shin Budokai - Another Road,PSP,"although the dragon ball z animated series has long since been removed from the french audiovisual landscape, titles supporting this juicy license continue to arrive in our region at a steady pace. after escapades on ps2 and gamecube, the budokai saga makes its debut on a psp not very spoiled in terms of fighting games. will a few crystal balls and spiked hair change the situation? in any case, if one thing is certain it is that the screenwriter of this portable opus is a man to meet quickly. if it even exists. fighting atari"
Dragon Ball Z: Shin Budokai - Another Road,PSP,"although the journey of adaptations of dragon ball z on consoles is quite uneven, the psp had the chance to inherit a high-level exclusive episode. fans of the series, who had a very good impression with this title, could therefore only be impatient to finally see its sequel, dragon ball z: shin budokai 2, arrive in turn on sony's laptop. the latter, however, risk having the unpleasant surprise of finding that the software no longer has much to do with its predecessor. fighting atari"
Dragon Ball Z: Supersonic Warriors,GBA,"after its pitiful attempt called taiketsu, atari obviously said to itself that this time it was necessary to try to publish a quality product while trying, if possible, to respect the buyers, necessarily devoted body and soul to the blond warriors adorning the cover of this dbz supersonic warriors. but in the general rush around this title, one aspect was sacrificed on the altar of quick profit, the title. supersonic warriors... and why ""mach 2"" adventurers while we're at it. it is true that leaving a title in japanese is sacrilege. against what, no one knows, but everyone feels good about it. all this to announce the first truly valid dragon ball game on the gba. finally. fighting atari"
Dragon Ball Z: Supersonic Warriors 2,DS,"directly succeeding supersonic warriors released at the end of 2004 on gba, this new episode of dragon ball z on portable console proves to us that the monumental failure of dbz taiketsu is definitively forgotten. building on the reputation of its predecessor, dbz: supersonic warriors 2 once again invites us to merciless jousts between super saiyans. and even if the result is not really perfect, the gaming pleasure is definitely there. fighting atari"
Dragon Ball Z: Taiketsu,GBA,"goku is no longer what he used to be. king of the monkeys and god of the mountains in chinese legends, pointy-haired hero and protector of the earth in the successful animated series, his destiny could only be lined with roses with the sweet, intoxicating scent of social and economic success. this is the story of a decline, not wanted, but imposed. this is the story of a negation of the very principles of respect for an original work. morbid contemplation of a masterfully orchestrated abandonment. fighting atari"
Dragon Ball Z: Tenkaichi Tag Team,PSP,"although the eyes of dragon ball z fans are currently turning to the imminent raging blast 2 on hd consoles, spike is not abandoning the psp and is giving us a fairly surprising new tenkaichi. although the software does not offer anything fundamentally innovative, it nevertheless attempts to revive the situation by focusing its gameplay on team fights. fighting namco bandai games"
Dragon Ball Z: Ultimate Tenkaichi,PS3,"akira toriyama's flagship series continues to be adapted into video games. it's been almost 25 years since the dragon ball saga has been regularly adapted for our small consoles. given the content of the manga, it's not surprising that most of these titles are fighting games. namco bandai continues this tradition today with an opus simply titled dragon ball z ultimate tenkaichi. it remains to be seen whether this episode can really be described as ""ultimate""... fighting namco bandai games"
Dragon Blade: Wrath of Fire,Wii,"dragon blade, this is a banal and all-purpose name for a game that will probably not go down in the annals of video games. with its outdated production and its exasperating gameplay, the arguments of this title are as heartbreaking as the gaming sensations that it has to offer us. and meanwhile, the wii still hasn't found a beat'em all worthy of the name. action d3publisher"
Dragon Quest IV: Chapters of the Chosen,DS,"after too long years of waiting and despair, dragon quest, the sacred monster of rpg in japan, finally deigns to set its eyes on our distant homeland. since the providential release of the eighth part on ps2, the distribution and localization of the numerous opuses of this immense saga has indeed become a reality, and the arrival of the first chapter of the zenithian trilogy on ds marks a considerable step forward for the future of the japanese rpg in europe. role-playing square enix"
Dragon Quest VIII: Journey of the Cursed King,3DS,"it's been more than a decade since square enix has been an expert in porting jrpgs from home consoles to portable consoles, with more than convincing results. the dragon quest series is obviously one of the good candidates and just a few months after the seventh opus, it is dragon quest viii: the odyssey of the cursed king which is making the trip to 3ds. role-playing square enix"
Dragon Quest VIII: Journey of the Cursed King,PS2,"while it enjoys unparalleled popularity in japan, the dragon quest series is only taking its first steps on the old continent with an audience that, until yesterday, was unaware of its existence. we still had to wait almost 20 years to finally have the chance to discover this rpg monument through the eighth episode of dragon quest, so we might as well tell you that it is your duty to run out and buy it. ceasing. role-playing square enix"
Dragon Quest V: Hand of the Heavenly Bride,DS,"arriving in europe in disorder but nevertheless following a certain logic, the episodes of the dragon quest saga are responsible for introducing us to a whole section of japanese role-playing culture that has remained inaccessible to the european public for too long. if the tone of the fourth part was rather light, the narrative of dragon quest v: the heavenly bride is much darker and undoubtedly explains why this opus is among the most popular among nostalgic fans. role-playing square enix"
Dragon Quest IX: Sentinels of the Starry Skies,DS,"stepping into the breach opened by the odyssey of the cursed king, the slimes raised on sticky rice are once again taking france by storm, proudly taking up their surname of “sticky”. having already brought joy to ds owners through the remakes and monsters joker episodes, the great dragon quest family has chosen the nintendo portable to launch its ninth numbered episode. role-playing nintendo"
Dragon Quest Monsters: Joker,DS,"dragon quest monsters arrives for the first time in europe in the blessed form of a ds cartridge. exclusively devoted to breeding and fighting monsters, this joker episode is perhaps not the most original of the series but it will undoubtedly satisfy fans of the genre. role-playing square enix"
Dragon Quest Monsters: Joker 2,DS,"in 2008, the dragon quest monters series took its first steps on ds with beautiful 3d graphics and a very substantial bestiary. a few years later, dragon quest monsters: joker 2 also arrives in our green lands to the delight of budding trainers. role-playing square enix"
Dragon Quest Swords: The Masked Queen and the Tower of Mirrors,Wii,"already available for almost a year in japan, dragon quest swords has enjoyed real commercial success in its country of origin where the series is the object of all attention. this episode, however, is not at all in line with its predecessors, completely abandoning the rules of the rpg to try the experience of the action game in subjective view. an idea to say the least tempting but not sufficiently accomplished to honor kenshin dragon quest of which it is the heir. role-playing square enix"
Dragon Quest VI: Realms of Revelation,DS,"while we have barely recovered from the dragon quest ix tornado, the ds remake of the sixth part of the saga is already moving to the forefront to complete its world tour more than fifteen years after its birth on super famicom. a long-awaited european release which is justified by the aura of grandeur exuded by this episode, considered one of the most memorable rpgs of its generation! role-playing nintendo"
Dragon's Crown,PS3,"we can undoubtedly count on the fingers of one hand the titles that sacrifice everything for art. where productions opt for banal, easy-to-do 3d, a few diehard studios continue to use drawing (and 2d) to dazzle us while taking surprising gameplay choices. vanillaware is one of them and their dragon's crown is the epitome of it. role-playing nippon ichi software"
Dragon's Dogma,PS3,"when ambitious capcom embarked on a large-scale role-playing game, many believed in an unexpected return of the famous breath of fire series. however, it is a brand new license that must prove itself. clear the slate, here is dragon's dogma. role-playing capcom"
Dragoneer's Aria,PSP,"not having understood that we only wanted their rpgs on psp, hitmaker did it again after blade dancer. as a result, their new hit looks very similar, at least from a graphic point of view, to their previous production. banking on the same qualities (or faults depending on where you place yourself), dragoneer's aria should a priori follow the same path as its predecessor, in the ""promotions"" bin of hypermarkets under packs of thirty games from the oxygen range. role-playing tecmo koei"
Drakan: The Ancients' Gates,PS2,"after a very good performance on pc, rynn is entering ps2 for new adventures. drakan lands on the sony console and rather than offering us a rehash of adventure, he invites us to discover a universe even more impressive than on pc, both vast and dangerous and in which the player will have to accomplish numerous quests. adventure sony computer entertainment"
Drakengard,PS2,"a maelstrom of blood and fire illuminating in the metallic shards of colliding tears. this is their daily life. a struggle tinged with purple, simply dominated by will, the desire for power, the unacknowledged goal of all human motivations. what a disappointment to be forced to collaborate, to combine my taste for battle, my rage, with that of a human being whose darkness leads his thoughts astray. but you have to survive, by any means. some of us carry out this task on our own, putting aside their animosity and taking advantage of the pride emanating from the approach of the man who has come to confide in us. our reign as dragon comes to an end, with what we call the pact. role-playing square enix"
Drakengard 2,PS2,"brewing the still-smoldering ashes left by caim in his brutal and bloodthirsty desire for vengeance, the world is just beginning to regain vigor, replacing the once-existing chaos with a pervasive and stable intransigence. it is in this context that the order, a new autocratic regime, operates, basing its strength on its mastery of the different seals existing in this dark universe. a young man officiating as a knight within this governance, nowe builds his reputation from battle to battle, through his terrifying fighting abilities. nicknamed the dragon child, the latter was raised by one of these creatures named legna. swearing that no other human could have attracted his attention, the mystical creature remains forever your faithful and bitter shadow, also anchored in indecisive violence. role-playing ubisoft"
Drakengard 3,PS3,"after two highly successful episodes, the drakengard series returns with an astonishing prequel. indeed, it dwells on the heartbreak, literally and figuratively, of the six summoners who saved the world with their song a long time ago. an opus that risks dividing. role-playing square enix"
Dream Pinball 3D,DS,"pinball games are unfortunately very rare regardless of the machine, and the ds is no exception to the rule. apart from metroid prime pinball and the pathetic powershot pinball constructor, fans of the genre haven't had much to sink their teeth into. that could well change with the friendly dream pinball 3d. misc southpeak games"
Dream Pinball 3D,Wii,"considered a minor genre, the pinball game is the dream medium for makers of shareware and other flash entertainment. professional productions are not legion. the arrival of dream pinball 3d is necessarily a satisfaction, since topware interactive has provided the means: careful production, 6 generous tables, partnership with two world, zuxxev's game. misc southpeak games"
DreamWorks Super Star Kartz,3DS,"as a nomad of a wii version which was already not particularly brilliant, dreamworks super star kartz on 3ds in turn takes up the formula popularized by a certain mario kart. except that instead of the mustachioed plumber and his clique, the high impact games software offers us the opportunity to shoot characters from the various productions of the famous animation studio dreamworks. the thing is that if this re-pump, more or less inspired by the reference of the genre, held up at least on the wii, this 3ds version goes completely off the track at every turn. racing activision"
DreamWorks Super Star Kartz,Wii,"why change a winning formula? taking characters from successful cartoons, throwing them into colorful karts and sending them to fight for pole position on tortured circuits, this is a concept that has proven itself! and this time, it's the characters from the different productions of the famous animation studio dreamworks who take you on a mario kart-style trip, but with more grease and less talent. racing activision"
